"D";"Klassifikation af sygdomme"
"DX8411";"Selvmordsforsøg m uspecificeret metode under pt-kontakt"
"DX8420";"Selvbeskadigelse m uspecificeret metode før pt-kontakt"
"DX8421";"Selvbeskadigelse m uspecificeret metode under pt-kontakt"
"DX85";"Voldelig skade v brug af lægemidler og biologiske stoffer"
"DX859";"Voldelig skade v brug af lægemiddel el biologisk stof"
"DX86";"Voldelig skade v brug af ætsende stoffer"
"DX869";"Voldelig skade v brug af ætsende stoffer"
"DX87";"Voldelig skade v brug af pesticider"
"DX879";"Voldelig skade v brug af pesticid"
"DX88";"Voldelig skade v brug af gasarter og dampe"
"DX889";"Voldelig skade v brug af gasart el damp"
"DX89";"Voldelig skade v brug af spec kemiske og giftige stoffer"
"DX899";"Voldelig skade v brug af spec kemisk el giftigt stof"
"DX90";"Voldelig skade v brug af uspec kemiske og giftige stoffer"
"DX909";"Voldelig skade v brug af uspec kemisk el giftigt stof"
"DX91";"Voldelig skade v hængning, strangulation og kvælning"
"DX919";"Voldelig skade v hængning, strangulation el kvælning"
"DX92";"Voldelig skade v drukning"
"DX929";"Voldelig skade v drukning"
"DX93";"Voldelig skade v skud fra håndskydevåben"
"DX939";"Voldelig skade v skud fra håndskydevåben"
"DX94";"Voldelig skade v skud fra gevær og større skydevåben"
"DX949";"Voldelig skade v skud fra gevær el større skydevåben"
"DX95";"Voldelig skade v skud fra andet og uspec skydevåben"
"DX959";"Voldelig skade v skud fra andet el uspec skydevåben"
"DX96";"Voldelig skade v brug af eksplosivt materiale"
"DX969";"Voldelig skade v brug af eksplosivt materiale"
"DX97";"Voldelig skade v brug af røg, ild og flammer"
"DX979";"Voldelig skade v brug af røg, ild el flammer"
"DX98";"Voldelig skade v brug af varme dampe og varme genstande"
"DX989";"Voldelig skade v brug af varm damp el varm genstand"
"DX99";"Voldelig skade v brug af skarp genstand"
"DX999";"Voldelig skade v brug af skarp genstand"
"DY00";"Voldelig skade v brug af stump genstand"
"DY009";"Voldelig skade v brug af stump genstand"
"DY01";"Voldelig skade v skub fra højde"
"DY019";"Voldelig skade v skub fra højde"
"DY02";"Voldelig skade v skub foran genstand i bevægelse"
"DY029";"Voldelig skade v skub foran genstand i bevægelse"
"DY03";"Voldelig skade v kollision m motorkøretøj"
"DY039";"Voldelig skade v kollision m motorkøretøj"
"DY04";"Skade v korporlig vold"
"DY049";"Skade v korporlig vold"
"DY05";"Seksuel korporlig vold"
"DY059";"Seksuel korporlig vold"
"DY06";"Omsorgssvigt"
"DY060";"Omsorgssvigt fra ægtefælle/partner"
"DY061";"Omsorgssvigt fra forældre"
"DY062";"Omsorgssvigt fra bekendt eller ven"
"DY068";"Omsorgssvigt fra anden specificeret person"
"DY069";"Omsorgssvigt fra uspecificeret person"
"DY07";"Mishandlingssyndromer"
"DY070";"Mishandling fra ægtefælle eller partner"
"DY071";"Mishandling fra forældre"
"DY072";"Mishandling fra bekendt eller ven"
"DY073";"Mishandling fra myndigheder"
"DY078";"Mishandling fra anden specificeret person"
"DY079";"Mishandling fra uspecificeret person"
"DY08";"Voldelig skade v andre specificerede metoder"
"DY089";"Voldelig skade v anden specificeret metode"
"DY09";"Voldelig skade v uspecificerede metoder"
"DY099";"Voldelig skade v uspecificeret metode"
"DZ00";"Undersøgelse af personer uden klage eller diagnose"
"DZ000";"Generel helbredsundersøgelse"
"DZ001";"Rutine børneundersøgelse"
"DZ002";"Undersøgelse af periode m hurtig vækst i barndom"
"DZ003";"Undersøgelse af udviklingsstatus i pubertet"
"DZ004";"Psykiatrisk undersøgelse, ikke klassificeret andetsteds"
"DZ005";"Undersøgelse af potentiel donor af organ og væv"
"DZ006";"Undersøgelse mhp. deltagelse i et klinisk forskningsprogram"
"DZ008";"Generelle undersøgelser, andre"
"DZ008A";"Generel undersøgelse med henblik på visum"
"DZ008B";"Generel undersøgelse af asylansøger"
"DZ01";"Særlige unders af personer u klage eller diagnose, andre"
"DZ010";"Undersøgelse af øjne og syn"
"DZ011";"Undersøgelse af ører og hørelse"
"DZ012";"Undersøgelse af tænder"
"DZ016";"Radiologisk undersøgelse"
"DZ016U";"Ultralydundersøgelse, normalt undersøgelsesresultat"
"DZ017";"Laboratorieundersøgelse"
"DZ018";"Særlige undersøgelser, andre specificerede"
"DZ019";"Særlig undersøgelse, uden specifikation"
"DZ02";"Undersøgelse og fremmøde af administrative årsager"
"DZ020";"Undersøgelse m henblik på optagelse på undervisningsinst"
"DZ021";"Undersøgelse før erhvervsmæssig ansættelse"
"DZ021A";"Undersøgelse i forb. m.  attestudstedelse til erhvervsdykker"
"DZ021B";"Undersøgelse i forbindelse med attestudstedelse til pilot"
"DZ022";"Undersøgelse før adgang til anbringelse på beboelsesinst"
"DZ023";"Undersøgelse i forbindelse m rekruttering til militær"
"DZ024";"Undersøgelse i forbindelse m erhvervelse af kørekort"
"DZ025";"Undersøgelse i forbindelse m deltagelse i sport"
"DZ025A";"Undersøgelse i forb. m. attestudstedelse til sportsdykker"
"DZ026";"Undersøgelse i forbindelse m forsikringstegning"
"DZ026A";"Undersøgelse i forbindelse med pensionsforsikring"
"DZ027";"Udfyldelse af lægeattest"
"DZ027A";"Udfyldelse af dødsattest"
"DZ028";"Undersøgelser m administrative formål, andre"
"DZ028A";"Undersøgelser med administrative formål, projektpatient"
"DZ029";"Undersøgelse af administrativ årsag uden specifikation"
"DZ03";"Lægelig obs for og vurdering af personer mistænkt for sygd"
"DZ030";"Observation på grund af mistanke om tuberkulose"
"DZ031";"Obs. pga. mistanke om ondartet svulst"
"DZ031A";"Obs. pga. mistanke om ondartet svulst i CNS"
"DZ031B";"Obs. pga. mistanke om ondartet svulst i lunger"
"DZ031C";"Obs. pga. mistanke om ondartet svulst i øvre mave-tarm-kanal"
"DZ031C1";"Obs. pga. mistanke om ondartet svulst i oesophagus"
"DZ031C2";"Obs. pga. mistanke om ondartet svulst i cardia"
"DZ031C3";"Obs. pga. mistanke om ondartet svulst i mavesækken"
"DZ031D";"Obs. pga. mistanke om ondartet svulst i tyktarm el. endetarm"
"DZ031DA";"Obs. pga. mistanke om ondartet svulst i tyktarm"
"DZ031DB";"Obs. pga. mistanke om ondartet svulst i endetarm"
"DZ031DC";"Obs. pga. mistanke om ondartet svulst i endetarmsåbning"
"DZ031E";"Obs. pga. mistanke om ondartet svulst i lever"
"DZ031F";"Obs. pga. mistanke om ondartet svulst i pancreas"
"DZ031H";"Obs. pga. mistanke om ondartet svulst i urinveje"
"DZ031H1";"Obs. pga. mistanke om ondartet svulst i nyre"
"DZ031H2";"Obs. pga. mistanke om ondartet svulst i urinblære"
"DZ031H3";"Obs. pga. mistanke om ondartet svulst i ureter"
"DZ031H4";"Obs. pga. mistanke om ondartet svulst i urethra"
"DZ031J";"Obs. pga. mistanke om ondartet svulst i prostata"
"DZ031K";"Obs. pga. mistanke om ondartet svulst i kvindeligt kønsorgan"
"DZ031K1";"Obs. pga. mistanke om ondartet svulst i ovarie"
"DZ031K2";"Obs. pga. mistanke om ondartet svulst i uterus"
"DZ031K3";"Obs. pga. mistanke om ondartet svulst i cervix uteri"
"DZ031K4";"Obs. pga. mistanke om ondartet svulst i vagina"
"DZ031K5";"Obs. pga. mistanke om ondartet svulst i vulva"
"DZ031L";"Obs. pga. mistanke om ondartet svulst i galdegang"
"DZ031N";"Obs. pga. mistanke om ondartet svulst i knogler"
"DZ031O";"Obs. pga. mistanke om ondartet svulst i muskel"
"DZ031P";"Obs. pga. mistanke om ondartet svulst i hud"
"DZ031R";"Obs. pga. mistanke om ondartet svulst i bryst"
"DZ031S";"Obs. pga. mistanke om ondartet svulst i penis"
"DZ031T";"Obs. pga. mistanke om ondartet svulst i testis"
"DZ031W";"Obs. pga. mistanke om ondartet svulst i binyre"
"DZ031X";"Obs. pga. mistanke om ondartet svulst i hoved/hals"
"DZ031XA";"Obs. pga. mistanke om ondartet svulst i mundhule"
"DZ031XB";"Obs. pga. mistanke om ondartet svulst i næse/bihule"
"DZ031XC";"Obs. pga. mistanke om ondartet svulst i spytkirtel"
"DZ031XD";"Obs. pga. mistanke om ondartet svulst i thyreoidea"
"DZ031XE";"Obs. pga. mistanke om ondartet svulst i strube/svælg"
"DZ031XF";"Obs. pga. mistanke om ondartet svulst i lymfeknude i hals"
"DZ031Y";"Obs. pga. mistanke om ondartet svulst i blod og bloddan. org"
"DZ031YA";"Obs. pga. mistanke om lymfekræft og kron. lymfatisk leukæmi"
"DZ031YB";"Obs. pga. mistanke om kronisk myeloid sygdom"
"DZ031YC";"Obs. pga. mistanke om akut leukæmi"
"DZ031YD";"Obs. pga. mistanke om myelomatose"
"DZ031Z";"Obs. pga. mistanke om ondartet svulst i øje/øjenomgivelser"
"DZ032";"Obs pga mistanke om psykisk lidelse/adfærdsm. forstyrrelse"
"DZ033";"Observation på grund af mistanke om sygdom i nervesystem"
"DZ033A";"Observation på grund af mistanke om epilepsi"
"DZ033B";"Observation på grund af mistanke om migræne"
"DZ033C";"Observation på grund af mistanke om dissemineret sclerose"
"DZ033D";"Observation på grund af mistanke om hjernerystelse"
"DZ033E";"Observation på grund af mistanke om apopleksi"
"DZ034";"Observation på grund af mistanke om myokardieinfarkt"
"DZ035";"Observation på grund af mistanke om hjerte-karlidelse"
"DZ035A";"Observation for arytmi"
"DZ035B";"Observation for blodtryksforhøjelse"
"DZ035C";"Observation på mistanke om stabil angina pectoris"
"DZ035CA";"Obs. på mistanke om stabil angina pectoris, pakkepatient"
"DZ035D";"Observation på mistanke om klaplidelse/endocarditis"
"DZ035DA";"Obs. på mistanke om klaplidelse/endocarditis, pakkepatient"
"DZ035E";"Observation på mistanke om hjertesvigt"
"DZ035EA";"Observtion på mistanke om hjertesvigt, pakkepatient"
"DZ036";"Obs på grund af mistanke om toksisk effekt af indtaget stof"
"DZ036A";"Observation på grund af mistanke om røgforgiftning"
"DZ037";"Obs. pga mistanke om medfødt og perinatal sygdom"
"DZ037A";"Obs. for mistanke om neonatalt høretab"
"DZ038";"Obs på grund af mistanke om andre sygdomme eller tilstande"
"DZ038A";"Obs på grund af mistanke om urinvejsinfektion"
"DZ038B";"Obs på grund af mistanke om urinvejssygdom u. specifikation"
"DZ038C";"Obs på grund af mistanke om allergisk lidelse"
"DZ038D";"Obs på grund af mistanke om blodsygdom"
"DZ038E";"Observation pga mistanke om svulst"
"DZ038F";"Klinisk mistanke om underernæring"
"DZ038G";"Obs på grund af mistanke om fysisk overgreb/mishandling"
"DZ038H";"Obs. pga. mistanke om gigt- eller bindevævssygdom"
"DZ039";"Obs på grund af mistanke om ikke spec sygdom eller tilstand"
"DZ04";"Undersøgelse og observation af andre årsager"
"DZ040";"Blod-alkohol og blod-medikament test"
"DZ040A";"Blod-alkohol test"
"DZ040B";"Blod-medikament test"
"DZ040C";"Blod-DNA test"
"DZ041";"Undersøgelse og observation efter færdselsulykke"
"DZ042";"Undersøgelse og observation efter arbejdsulykke"
"DZ043";"Undersøgelse og observation efter andet ulykkestilfælde"
"DZ044";"Undersøgelse og obs efter påstået voldtægt eller forførelse"
"DZ045";"Undersøgelse og observation efter anden påført skade"
"DZ046";"Psykiatrisk undersøgelse, begæret af myndigheder"
"DZ0460";"Retspsykiatrisk undersøgelse"
"DZ0461";"Dom til psykiatrisk behandling"
"DZ0462";"Dom til psykiatrisk anbringelse"
"DZ0463";"Civilretslig psykiatrisk undersøgelse"
"DZ0464";"Socialretslig psykiatrisk undersøgelse"
"DZ0468";"Anden retspsykiatrisk undersøgelse eller foranstaltning"
"DZ0469";"Retspsykiatrisk undersøgelse eller foranstaltning u spec"
"DZ048";"Undersøgelse og observation af andre specificerede årsager"
"DZ048A";"Kosmetisk generende hudforandring"
"DZ048B";"Arbejdsmedicinsk udredning"
"DZ048C";"Retsmedicinsk undersøgelse m.h.p. knoglealderbestemmelse"
"DZ048D";"Retsmedicinsk undersøgelse m.h.p. ulovligt tarmindhold"
"DZ048E";"Erhvervsevnevurdering"
"DZ048F";"Miljømedicinsk udredning"
"DZ048S";"Socialmedicinsk udredning"
"DZ048W";"Retsmedicinsk undersøgelse uden specifikation"
"DZ049";"Undersøgelse og observation u specificeret årsag"
"DZ07";"Sundhedsfagligt vurderet risiko for sygdom eller tilstand"
"DZ079";"Risiko for sygdom eller tilstand"
"DZ08";"Kontrolundersøgelse efter behandling af ondartet svulst"
"DZ080";"Kontrolundersøgelse efter operation af ondartet svulst"
"DZ080A";"Kontrolus efter operation af ondartet svulst i CNS"
"DZ080B";"Kontrolus efter operation af ondartet svulst i lunger"
"DZ080C";"Kontrolus efter operation af ondartet svulst i ventrikel"
"DZ080D";"Kontrolus efter operation af ondartet svulst i tyktarm"
"DZ080E";"Kontrolus efter operation af ondartet svulst i lever"
"DZ080F";"Kontrolus efter operation af ondartet svulst i pancreas"
"DZ080G";"Kontrolus efter operation af ondartet svulst i rectum"
"DZ080H";"Kontrolus efter operation af ondartet svulst i nyre"
"DZ080I";"Kontrolus efter operation af ondartet svulst i blære"
"DZ080J";"Kontrolus efter operation af ondartet svulst i prostata"
"DZ080K";"Kontrolus efter operation af ondartet svulst i ovarie"
"DZ080L";"Kontrolus efter operation af ondartet svulst i uterus"
"DZ080M";"Kontrolus efter operation af ondartet svulst i cervix"
"DZ080N";"Kontrolus efter operation af ondartet svulst i knogler"
"DZ080O";"Kontrolus efter operation af ondartet svulst i muskel"
"DZ080P";"Kontrolus efter operation af ondartet svulst i hud"
"DZ080R";"Kontrolus. efter operation af ondartet svulst i bryst"
"DZ080S";"Kontrolundersøgelse efter opr. af ondartet svulst i penis"
"DZ080T";"Kontrolundersøgelse efter opr. af ondartet svulst i testis"
"DZ080U";"Kontrolundersøgelse efter opr. af ondartet svulst i ureter"
"DZ080V";"Kontrolundersøgelse efter opr. af ondartet svulst i urethra"
"DZ080X";"Kontrolus. efter operation af ondartet svulst i vagina"
"DZ080Y";"Kontrolus. efter operation af ondartet svulst i vulva"
"DZ081";"Kontrolundersøgelse efter strålebeh af ondartet svulst"
"DZ081A";"Kontrolus efter strålebeh af ondartet svulst i CNS"
"DZ081B";"Kontrolus efter strålebeh af ondartet svulst i lunger"
"DZ081C";"Kontrolus efter strålebeh af ondartet svulst i ventrikel"
"DZ081D";"Kontrolus efter strålebeh af ondartet svulst i tyktarm"
"DZ081E";"Kontrolus efter strålebeh af ondartet svulst i lever"
"DZ081F";"Kontrolus efter strålebeh af ondartet svulst i pancreas"
"DZ081G";"Kontrolus efter strålebeh af ondartet svulst i rectum"
"DZ081H";"Kontrolus efter strålebeh af ondartet svulst i nyre"
"DZ081I";"Kontrolus efter strålebeh af ondartet svulst i blære"
"DZ081J";"Kontrolus efter strålebeh af ondartet svulst i prostata"
"DZ081K";"Kontrolus efter strålebeh af ondartet svulst i ovarie"
"DZ081L";"Kontrolus efter strålebeh af ondartet svulst i uterus"
"DZ081M";"Kontrolus efter strålebeh af ondartet svulst i cervix"
"DZ081N";"Kontrolus efter strålebeh af ondartet svulst i knogler"
"DZ081O";"Kontrolus efter strålebeh af ondartet svulst i muskel"
"DZ081P";"Kontrolus efter strålebeh af ondartet svulst i hud"
"DZ081R";"Kontrolus. efter strålebehandling af ondartet svulst i bryst"
"DZ081S";"Kontrolus. efter strålebehandling af ondartet svulst i penis"
"DZ081T";"Kontrolus. efter strålebeh. af ondartet svulst i testis"
"DZ081U";"Kontrolus. efter strålebeh. af ondartet svulst i ureter"
"DZ081V";"Kontrolus. efter strålebeh. af ondartet svulst i urethra"
"DZ082";"Kontrolundersøgelse efter kemoterapi af ondartet svulst"
"DZ082A";"Kontrolus efter kemoterapi af ondartet svulst i CNS"
"DZ082B";"Kontrolus efter kemoterapi af ondartet svulst i lunger"
"DZ082C";"Kontrolus efter kemoterapi af ondartet svulst i ventrikel"
"DZ082D";"Kontrolus efter kemoterapi af ondartet svulst i tyktarm"
"DZ082E";"Kontrolus efter kemoterapi af ondartet svulst i lever"
"DZ082F";"Kontrolus efter kemoterapi af ondartet svulst i pancreas"
"DZ082G";"Kontrolus efter kemoterapi af ondartet svulst i rectum"
"DZ082H";"Kontrolus efter kemoterapi af ondartet svulst i nyre"
"DZ082I";"Kontrolus efter kemoterapi af ondartet svulst i blære"
"DZ082J";"Kontrolus efter kemoterapi af ondartet svulst i prostata"
"DZ082K";"Kontrolus efter kemoterapi af ondartet svulst i ovarie"
"DZ082L";"Kontrolus efter kemoterapi af ondartet svulst i uterus"
"DZ082M";"Kontrolus efter kemoterapi af ondartet svulst i cervix"
"DZ082N";"Kontrolus efter kemoterapi af ondartet svulst i knogler"
"DZ082O";"Kontrolus efter kemoterapi af ondartet svulst i muskel"
"DZ082P";"Kontrolus efter kemoterapi af ondartet svulst i hud"
"DZ082R";"Kontrolus. efter kemoterapi af ondartet svulst i bryst"
"DZ082S";"Kontrolus. efter kemoterapi af ondartet svulst i penis"
"DZ082T";"Kontrolus. efter kemoterapi af ondartet svulst i testis"
"DZ082U";"Kontrolus. efter kemoterapi af ondartet svulst i ureter"
"DZ082V";"Kontrolus. efter kemoterapi af ondartet svulst i urethra"
"DZ087";"Kontrolundersøgelse efter komb beh af ondartet svulst"
"DZ087A";"Kontrolus efter kombin beh af ondartet svulst i CNS"
"DZ087B";"Kontrolus efter kombin beh af ondartet svulst i lunger"
"DZ087C";"Kontrolus efter kombin beh af ondartet svulst i ventrikel"
"DZ087D";"Kontrolus efter kombin beh af ondartet svulst i tyktarm"
"DZ087E";"Kontrolus efter kombin beh af ondartet svulst i lever"
"DZ087F";"Kontrolus efter kombin beh af ondartet svulst i pancreas"
"DZ087G";"Kontrolus efter kombin beh af ondartet svulst i rectum"
"DZ087H";"Kontrolus efter kombin beh af ondartet svulst i nyre"
"DZ087I";"Kontrolus efter kombin beh af ondartet svulst i blære"
"DZ087J";"Kontrolus efter kombin beh af ondartet svulst i prostata"
"DZ087K";"Kontrolus efter kombin beh af ondartet svulst i ovarie"
"DZ087L";"Kontrolus efter kombin beh af ondartet svulst i uterus"
"DZ087M";"Kontrolus efter kombin beh af ondartet svulst i cervix"
"DZ087N";"Kontrolus efter kombin beh af ondartet svulst i knogler"
"DZ087O";"Kontrolus efter kombin beh af ondartet svulst i muskel"
"DZ087P";"Kontrolus efter kombin beh af ondartet svulst i hud"
"DZ087R";"Kontrolus. efter komb. beh. af ondartet svulst i bryst"
"DZ087S";"Kontrolus. efter komb. beh. af ondartet svulst i penis"
"DZ087T";"Kontrolus. efter komb. beh. af ondartet svulst i testis"
"DZ087U";"Kontrolus. efter komb. beh. af ondartet svulst i ureter"
"DZ087V";"Kontrolus. efter komb. beh. af ondartet svulst i urethra"
"DZ088";"Kontrolundersøgelse efter anden beh af ondartet svulst"
"DZ089";"Kontrolundersøgelse af ondartet svulst efter beh u spec"
"DZ09";"Kontrolundersøgelse efter beh af andet end ondartet svulst"
"DZ090";"Kontrolundersøgelse efter operation af andre tilstande"
"DZ091";"Kontrolundersøgelse efter strålebeh af andre tilstande"
"DZ092";"Kontrolundersøgelse efter kemoterapi af andre tilstande"
"DZ093";"Kontrolundersøgelse efter psykoterapi"
"DZ094";"Kontrolundersøgelse efter behandling af knoglebrud"
"DZ094A";"Kontrolundersøgelse efter behandling af coll humeri fractur"
"DZ094B";"Kontrolundersøgelse efter behandling af humerus fraktur"
"DZ094C";"Kontrolundersøgelse efter behandling af Colles fraktur"
"DZ094D";"Kontrolundersøgelse efter behandling af finger fraktur"
"DZ094E";"Kontrolundersøgelse efter behandling af columnafraktur"
"DZ094F";"Kontrolundersøgelse efter behandling af bækkenfraktur"
"DZ094G";"Kontrolundersøgelse efter behandling af collum fem fraktur"
"DZ094H";"Kontrolundersøgelse efter behandling af femurfraktur"
"DZ094I";"Kontrolundersøgelse efter behandling af knæfraktur"
"DZ094J";"Kontrolundersøgelse efter behandling af crusfraktur"
"DZ094K";"Kontrolundersøgelse efter behandling af malleolfraktur"
"DZ094L";"Kontrolundersøgelse efter behandling af calcaneusfraktur"
"DZ095";"Kontrolundersøgelse efter behandling af medicinsk sygdom"
"DZ095A";"Kontrolundersøgelse efter behandling af hjertesygdom"
"DZ097";"Kontrolundersøgelse efter kombineret beh af andre tilstande"
"DZ098";"Kontrolundersøgelse efter anden beh af andre tilstande"
"DZ098A";"Kontrolundersøgelse efter medicinsk induceret tidlig abort"
"DZ098B";"Kontrolundersøgelse efter beh. af ikke-ondartet  svulst"
"DZ098N";"Kontrolundersøgelse efter neurorehabilitering af hjerneskade"
"DZ099";"Kontrolundersøgelse efter beh u spec af andre tilstande"
"DZ10";"Rutinemæssig helbredsus af en defineret befolkningsgruppe"
"DZ100";"Arbejdsmedicinsk helbredsundersøgelse"
"DZ100A";"Helbredsundersøgelse, arbejdsmedicinsk ved graviditet"
"DZ101";"Rutinemæssig helbredsundersøgelse af beboere på instistutio"
"DZ102";"Rutinemæssig helbredsundersøgelse af militært personale"
"DZ103";"Rutinemæssig helbredsundersøgelse af sportshold"
"DZ104";"Hjemtagningsus, efter udsendelse i international mission"
"DZ108";"Rutinemæssig helbredsus af en defineret befolkning, anden"
"DZ108A";"Mammografiscreening af defineret befolkningsgruppe"
"DZ109";"Rutinemæssig helbredsundersøgelse af befolkning u spec"
"DZ11";"Screening for infektiøse og parasitære sygdomme"
"DZ110";"Screening for infektiøse tarmsygdomme"
"DZ111";"Screening for tuberkulose i åndedrætsorganer"
"DZ112";"Screening for andre bakterielle sygdomme"
"DZ113";"Screening for infektioner, overvejende seksuelt overført"
"DZ113A";"Screening for gonorrhoe"
"DZ113B";"Screening for syflis"
"DZ114";"Screening for HIV infektion"
"DZ114A";"HIV screening ved 1. undersøgelse"
"DZ114B";"HIV screening ved gentagelse"
"DZ115";"Screening for andre virus sygdomme"
"DZ116";"Screening for andre protozosygdomme og ormesygdomme"
"DZ116A";"Screening for ormesygdomme"
"DZ116B";"Screening for protozosygdomme"
"DZ118";"Screening for andre infektiøse og parasitære sygdomme"
"DZ119";"Screening for infektiøse og parasitære sygdomme u spec"
"DZ119A";"Screening for infektiøse sygdomme uden specifikation"
"DZ119B";"Screening for parasitære sygdomme uden specifikation"
"DZ12";"Screening for svulster"
"DZ120";"Screening for svulst i mavesæk"
"DZ121";"Screening for svulst i tarmkanal"
"DZ122";"Screening for svulst i åndedrætsorganer"
"DZ123";"Screening for svulst i bryst"
"DZ124";"Screening for svulst i livmoderhals"
"DZ125";"Screening for svulst i blærehalskirtel"
"DZ126";"Screening for svulst i urinblære"
"DZ127";"Screening for ovariecancer"
"DZ128";"Screening for svulst m anden lokalisation"
"DZ129";"Screening for svulst uden specifikation"
"DZ13";"Screening for andre sygdomme og sygelige tilstande"
"DZ130";"Screening for blodsygd o lign samt forstyrr i immunforsvar"
"DZ131";"Screening for sukkersyge"
"DZ132";"Screening for ernæringsforstyrrelser"
"DZ133";"Screening for mentale og adfærdsforstyrrelser"
"DZ134";"Screening for visse udviklingsforstyrrelser i barnealder"
"DZ135";"Screening for øjen- og øreforstyrrelser"
"DZ135A";"Screening for øjenlidelse"
"DZ135B";"Screening for ørelidelser"
"DZ135C";"Screening for neonatalt høretab"
"DZ136";"Screening for hjerte-karforstyrrrelser"
"DZ137";"Screening for medfødte misdann og kromosomal abnormitet"
"DZ138";"Screening for andre spec sygdomme og forstyrrelser"
"DZ139";"Screening uden specifikation"
"DZ20";"Kontakt m eller udsat for smitte m infektionssygdom"
"DZ200";"Kontakt m eller udsat for smitte m infektiøs tarmsygdom"
"DZ201";"Kontakt m eller udsat for smitte m tuberkulose"
"DZ202";"Kontakt m el udsat for smitte m infek, overvejende seksuel"
"DZ203";"Kontakt m eller udsat for smitte m hundegalskab"
"DZ204";"Kontakt m eller udsat for smitte m røde hunde"
"DZ205";"Kontakt m eller udsat for smitte m virus hepatitis"
"DZ206";"Kontakt m eller udsat for smitte m HIV"
"DZ207";"Kontakt m eller udsat for smitte m ektoparasitter"
"DZ208";"Kontakt m eller udsat for andre infektionsssygdomme"
"DZ209";"Kontakt m eller udsat for infektionssygdom u specifikation"
"DZ21";"Asymptomatisk HIV-infektion"
"DZ219";"Asymptomatisk HIV-infektion UNS"
"DZ22";"Asymptomatisk bærer af infektiøs sygdom"
"DZ220";"Tyfusbacilbærer"
"DZ221";"Bærer af anden infektiøs tarmsygdom"
"DZ222";"Difteribacilbærer"
"DZ223";"Bærer af anden specificeret bakteriel sygdom"
"DZ224";"Bærer af bakterie, som hovedsagelig er seksuelt overført"
"DZ225";"Bærer af hepatitis virus"
"DZ226";"Bærer af HTLV-1 virus"
"DZ228";"Bærer af anden bakteriel sygdom"
"DZ229";"Bærer af bakteriel sygdom uden specifikation"
"DZ23";"Behov for vaccination mod sygdom f a enkelt bakterie"
"DZ230";"Behov for vaccination alene mod kolera"
"DZ231";"Behov for vaccination alene mod tyfus-paratyfus (TAB)"
"DZ232";"Behov for vaccination alene mod tuberkulose (BCG)"
"DZ233";"Behov for vaccination alene mod pest"
"DZ234";"Behov for vaccination alene mod tularæmi"
"DZ235";"Behov for vaccination alene mod stivkrampe"
"DZ236";"Behov for vaccination alene mod difteri"
"DZ237";"Behov for vaccination alene mod kighoste"
"DZ238";"Behov for vaccination mod anden sygdom f a enkelt bakterie"
"DZ24";"Behov for vaccination mod sygdom f a visse enkeltvirus"
"DZ240";"Behov for vaccination alene mod polio"
"DZ241";"Behov for vaccination mod insektbåren hjernebetændelse"
"DZ242";"Behov for vaccination alene mod hundegalskab"
"DZ243";"Behov for vaccination alene mod gul feber"
"DZ244";"Behov for vaccination alene mod mæslinger"
"DZ245";"Behov for vaccination alene mod røde hunde"
"DZ246";"Behov for vaccination alene mod leverbetændelse"
"DZ246A";"Hepatitisvaccination"
"DZ25";"Behov for vaccination mod sygdom f a andet enkeltvirus"
"DZ250";"Behov for vaccination alene mod fåresyge"
"DZ251";"Behov for vaccination alene mod influenza"
"DZ251A";"Influenzavaccination"
"DZ258";"Behov for vaccination mod anden spec sygd f a enkelt virus"
"DZ26";"Behov for vaccination mod sygd f a andet infektiøst agens"
"DZ260";"Behov for vaccination alene mod leishmaniasis"
"DZ268";"Behov for vaccination mod anden spec sygd f a andet agens"
"DZ269";"Behov for vaccination alene mod infektionssygdom u spec"
"DZ269A";"Vaccination mod infektionssygdom"
"DZ27";"Behov for vaccination mod flere infektionssygdomme"
"DZ270";"Behov for vaccination mod kolera og tyfus-paratyfus (TAB)"
"DZ271";"Behov for vaccination mod difteri-stivkrampe-kighoste (DTP)"
"DZ272";"Behov for vaccination mod DTP + TAB"
"DZ273";"Behov for vaccination mod DTP + polio"
"DZ274";"Behov for vaccination mod MRF"
"DZ278";"Behov for vaccination mod andre komb af infektionssygdomme"
"DZ279";"Behov for vaccination mod kombinationer af sygdomme u spec"
"DZ29";"Behov for forebyggende foranstaltninger"
"DZ290";"Behov for profylaktisk isolationsindlæggelse"
"DZ291";"Behov for profylaktisk immunoterapi"
"DZ292";"Behov for profylaktisk kemoterapi, anden"
"DZ292A";"Behov for profylaktisk antibiotikabehandling"
"DZ298";"Behov for forebyggende foranstaltninger, andre specificerede"
"DZ299";"Behov for forebyggende foranstaltning uden specifikation"
"DZ30";"Svangerskabsforebyggelse"
"DZ300";"Almen rådgivning og vejledning om svangerskabsforebyggelse"
"DZ302";"Sterilisation"
"DZ303";"Postkoital svangerskabsforebyggelse"
"DZ304";"Svangerskabsforebyggelse (p-piller)"
"DZ305";"Svangerskabsforebyggelse (spiral)"
"DZ306";"Svangerskabsforebyggelse (P-stav)"
"DZ307";"Svangerskabsforebyggelse (pessar)"
"DZ308";"Svangerskabsforebyggelse, anden"
"DZ308P";"Problemer i forbindelse med svangerskabsforebyggelse"
"DZ309";"Svangerskabsforebyggelse uden specifikation"
"DZ31";"Rådgivning og behandling vedr. forplantning"
"DZ310";"Ønske om kirurgisk refertilisering"
